80403,AIUKV0KVALMY6,1484.jpg,8,kind,N,0,1552854912.1557224
80404,AIUKV0KVALMY6,1714.jpg,3,kind,Y,0,1552854915.649667
80405,AIUKV0KVALMY6,47.jpg,1,kind,Y,0,1552854918.660516
80406,AIUKV0KVALMY6,62.jpg,4,kind,N,0,1552854921.2877088
80407,AIUKV0KVALMY6,394.jpg,3,kind,N,0,1552854923.7034016
80408,A3CA7SCTM4H9IO,1477.jpg,5,kind,N,0,1552854924.511914
80409,AIUKV0KVALMY6,985.jpg,6,kind,N,0,1552854926.1581645
80410,A3CA7SCTM4H9IO,1536.jpg,5,kind,N,0,1552854926.6390314
80411,A3CA7SCTM4H9IO,712.jpg,5,kind,N,0,1552854928.2875738
80412,AIUKV0KVALMY6,599.jpg,8,kind,N,0,1552854929.562415
80413,A3CA7SCTM4H9IO,1511.jpg,4,kind,N,0,1552854930.9310474
80414,AIUKV0KVALMY6,879.jpg,5,kind,N,0,1552854931.9976106
80415,A3CA7SCTM4H9IO,49.jpg,4,kind,N,0,1552854933.74806
80416,AIUKV0KVALMY6,1870.jpg,4,kind,N,0,1552854934.9135303
80417,A3CA7SCTM4H9IO,947.jpg,5,kind,Y,0,1552854936.0271575
80418,AIUKV0KVALMY6,1117.jpg,3,kind,N,0,1552854937.5429134
80419,A3CA7SCTM4H9IO,158.jpg,4,kind,Y,0,1552854938.380813
80420,AIUKV0KVALMY6,264.jpg,8,kind,N,0,1552854941.286
80421,A3CA7SCTM4H9IO,944.jpg,5,kind,N,0,1552854941.9189634
80422,AIUKV0KVALMY6,762.jpg,7,kind,Y,0,1552854944.467536
80423,A3CA7SCTM4H9IO,1087.jpg,6,kind,N,0,1552854945.265947
80424,AIUKV0KVALMY6,629.jpg,4,kind,Y,0,1552854946.8219793
80426,A3CA7SCTM4H9IO,1647.jpg,6,kind,Y,0,1552854948.9729607
80427,AIUKV0KVALMY6,1650.jpg,6,kind,Y,0,1552854951.6634092
