258006,A32613MWIE6YYD,Google_1_Valerie Noble_9_oval.jpg,2,calm,N,0,1554228029.94833
258028,A32613MWIE6YYD,Google_1_Stephen Gutierrez_7_oval.jpg,5,calm,N,0,1554228036.66535
258042,A32613MWIE6YYD,Google_1_Paula Faber_15_oval.jpg,4,calm,N,0,1554228041.71246
258056,A32613MWIE6YYD,Google_1_Bonnie Poindexter_15_oval.jpg,5,calm,N,0,1554228045.90781
258067,A32613MWIE6YYD,Google_1_Eric Lashley_6_oval.jpg,5,calm,Y,0,1554228049.55681
258070,A38TZK07ON180S,Google_1_Jesse Resnick_3_oval.jpg,6,calm,N,8,1554228050.42667
258078,A32613MWIE6YYD,Google_1_Karla Santoro_5_oval.jpg,1,calm,N,0,1554228052.43509
258080,A38TZK07ON180S,Google_1_Vincent Guest_7_oval.jpg,7,calm,N,8,1554228053.25296
258085,A32613MWIE6YYD,Google_1_Geneva Cline_11_oval.jpg,3,calm,N,0,1554228055.12535
258089,A38TZK07ON180S,Google_1_Delores Creed_19_oval.jpg,7,calm,N,8,1554228056.25702
258097,A38TZK07ON180S,Google_1_Belinda Dupuis_9_oval.jpg,7,calm,N,8,1554228058.77864
258099,A32613MWIE6YYD,Google_1_Dennis Nettles_7_oval.jpg,3,calm,Y,0,1554228059.00983
258107,A38TZK07ON180S,Google_1_Todd Mcghee_1_oval.jpg,6,calm,Y,8,1554228061.6194
258109,A32613MWIE6YYD,Google_1_Tiffany Chipman_7_oval.jpg,3,calm,N,0,1554228061.97993
258116,A38TZK07ON180S,Google_1_Margaret Sipple_13_oval.jpg,6,calm,N,8,1554228063.949
258119,A32613MWIE6YYD,Google_1_Angela Ehrlich_19_oval.jpg,8,calm,Y,0,1554228064.6388
258126,A38TZK07ON180S,Google_1_Verna Ridge_17_oval.jpg,7,calm,N,8,1554228066.4606
258129,A32613MWIE6YYD,Google_1_Gloria Canada_13_oval.jpg,2,calm,N,0,1554228067.31138
258138,A32613MWIE6YYD,Google_1_Lois Fredericks_9_oval.jpg,4,calm,N,0,1554228070.2811
258139,A38TZK07ON180S,Google_1_George Savage_3_oval.jpg,4,calm,N,8,1554228070.61627
258149,A32613MWIE6YYD,Google_1_Lawrence Edwards_15_oval.jpg,4,calm,N,0,1554228073.91304
258150,A38TZK07ON180S,Google_1_Geneva Northern_17_oval.jpg,7,calm,Y,8,1554228074.03252
258162,A38TZK07ON180S,Google_1_Leona Kirkman_15_oval.jpg,7,calm,N,8,1554228077.08903
258167,A32613MWIE6YYD,Google_1_Louis Jasper_11_oval.jpg,7,calm,N,0,1554228078.68301
258178,A32613MWIE6YYD,Google_1_Bruce Hartsock_3_oval.jpg,3,calm,Y,0,1554228082.07582
258186,A38TZK07ON180S,Google_1_Agnes Ambrose_1_oval.jpg,5,calm,N,8,1554228084.09311
258188,A32613MWIE6YYD,Google_1_Anthony Cavender_3_oval.jpg,8,calm,N,0,1554228085.30143
258195,A38TZK07ON180S,Google_1_Lori Davidson_15_oval.jpg,6,calm,N,8,1554228087.61327
258199,A32613MWIE6YYD,Aaron_Dollar_13_oval.jpg,7,calm,N,0,1554228088.56503
258205,A38TZK07ON180S,Google_1_Maxine Mcnulty_3_oval.jpg,7,calm,Y,8,1554228089.94274
258210,A32613MWIE6YYD,Google_1_Terri Oxford_9_oval.jpg,9,calm,N,0,1554228091.26759
258212,A38TZK07ON180S,Google_1_Myrtle Fowler_15_oval.jpg,6,calm,N,8,1554228092.66307
258217,A32613MWIE6YYD,Google_1_Rebecca Dasilva_9_oval.jpg,9,calm,Y,0,1554228093.75336
258222,A38TZK07ON180S,Google_1_Rachel Kindred_12_oval.jpg,6,calm,N,8,1554228095.06923
258227,A32613MWIE6YYD,Allison_Zambrano_9_oval.jpg,9,calm,Y,0,1554228096.16389
258233,A38TZK07ON180S,Google_1_David Bourassa_5_oval.jpg,5,calm,N,8,1554228097.37571
258238,A32613MWIE6YYD,Kelli_Hetrick_11_oval.jpg,1,calm,N,0,1554228098.93297
258241,A38TZK07ON180S,Google_1_Scott Irons_5_oval.jpg,4,calm,Y,8,1554228099.91392
258249,A32613MWIE6YYD,Google_1_James Rawls_9_oval.jpg,7,calm,N,0,1554228101.93706
258253,A38TZK07ON180S,Google_1_Geneva Northern_17_oval.jpg,7,calm,Y,8,1554228103.31446
258256,A32613MWIE6YYD,Google_1_Randy Stanger_9_oval.jpg,5,calm,N,0,1554228104.46176
258262,A38TZK07ON180S,Google_1_June Hicks_13_oval.jpg,7,calm,N,8,1554228105.53059
258271,A32613MWIE6YYD,Google_1_Brittany Shumaker_11_oval.jpg,5,calm,N,0,1554228108.40058
258272,A38TZK07ON180S,Google_1_Karla Santoro_5_oval.jpg,4,calm,N,8,1554228108.75641
258282,A38TZK07ON180S,Google_1_Joanna Saito_3_oval.jpg,6,calm,N,8,1554228111.11754
258286,A38TZK07ON180S,Google_1_Wayne Yun_17_oval.jpg,5,calm,N,8,1554228113.24881
258304,A38TZK07ON180S,Google_1_Shelley Lund_5_oval.jpg,9,calm,N,8,1554228119.28004
258310,A38TZK07ON180S,Google_1_Annie Pitts_1_oval.jpg,7,calm,Y,8,1554228121.60416
258313,A32613MWIE6YYD,Google_1_Douglas Tanguay_72_oval.jpg,3,calm,N,0,1554228122.7596
258320,A38TZK07ON180S,Google_1_Flora Jaques_19_oval.jpg,3,calm,N,8,1554228124.41166
258325,A32613MWIE6YYD,Google_1_Kristi Marty_5_oval.jpg,7,calm,N,0,1554228125.75471
258333,A38TZK07ON180S,Google_1_Robert Pyles_15_oval.jpg,6,calm,N,8,1554228127.66817
258337,A32613MWIE6YYD,Google_1_Justin Boudreaux_7_oval.jpg,2,calm,N,0,1554228128.73673
258341,A38TZK07ON180S,Alma_Melanson_1_oval.jpg,8,calm,N,8,1554228129.95469
258349,A32613MWIE6YYD,Google_1_Glenn Kutz_9_oval.jpg,4,calm,Y,0,1554228131.29465
258350,A38TZK07ON180S,Google_1_Virginia Christy_9_oval.jpg,7,calm,N,8,1554228132.14713
258363,A38TZK07ON180S,Google_1_Ryan Marvel_15_oval.jpg,5,calm,N,8,1554228135.64164
258372,A32613MWIE6YYD,Google_1_Glenn Kutz_9_oval.jpg,4,calm,Y,0,1554228138.52505
258373,A38TZK07ON180S,Google_1_John Woolf_11_oval.jpg,5,calm,N,8,1554228138.69527
258388,A32613MWIE6YYD,Bryan_Downer_132_oval.jpg,6,calm,N,0,1554228142.1464
258399,A32613MWIE6YYD,Google_1_Travis Matheson_3_oval.jpg,5,calm,N,0,1554228145.61767
258408,A32613MWIE6YYD,Google_1_Johnny Arenas_9_oval.jpg,5,calm,N,0,1554228148.14237
258421,A32613MWIE6YYD,Google_1_Jacquelyn Osteen_19_oval.jpg,7,calm,N,0,1554228151.8782
258433,A32613MWIE6YYD,Google_1_Carl Pires_5_oval.jpg,3,calm,N,0,1554228155.05355
258444,A38TZK07ON180S,Google_1_Raymond Rubino_10_oval.jpg,7,calm,N,8,1554228159.20341
258449,A32613MWIE6YYD,Google_1_Bruce Raab_15_oval.jpg,6,calm,N,0,1554228160.89918
258457,A38TZK07ON180S,Google_1_Christina Matlock_15_oval.jpg,6,calm,N,8,1554228162.99347
258462,A32613MWIE6YYD,Google_1_Bruce Hartsock_3_oval.jpg,2,calm,Y,0,1554228164.41188
258467,A38TZK07ON180S,Google_1_Karen Oxford_16_oval.jpg,6,calm,N,8,1554228165.51499
258472,A32613MWIE6YYD,Google_1_Paula Gorham_11_oval.jpg,8,calm,N,0,1554228167.06148
258476,A38TZK07ON180S,Adrienne_Blaney_1_oval.jpg,6,calm,N,8,1554228167.69693
258484,A38TZK07ON180S,Google_1_Kenneth Maggard_5_oval.jpg,7,calm,N,8,1554228170.00597
258485,A32613MWIE6YYD,Google_1_Rebecca Dasilva_9_oval.jpg,8,calm,Y,0,1554228170.22014
258499,A32613MWIE6YYD,Google_1_Nicholas Constantine_3_oval.jpg,6,calm,N,0,1554228173.40542
258502,A38TZK07ON180S,Google_1_Brian Lucier_7_oval.jpg,8,calm,Y,8,1554228174.55126
258512,A38TZK07ON180S,Google_1_Jeffery Beauregard_9_oval.jpg,8,calm,N,8,1554228177.14054
258514,A32613MWIE6YYD,Google_1_Gregory Moreira_17_oval.jpg,2,calm,N,0,1554228177.78263
258521,A38TZK07ON180S,Google_1_Douglas Covert_11_oval.jpg,6,calm,N,8,1554228179.66896
258524,A32613MWIE6YYD,Google_1_Victor Dasher_5_oval.jpg,6,calm,Y,0,1554228180.47838
258531,A38TZK07ON180S,Google_1_Roy Catron_142_oval.jpg,7,calm,Y,8,1554228182.15998
258534,A32613MWIE6YYD,Google_1_Richard Bard_7_oval.jpg,5,calm,Y,0,1554228183.30367
258541,A38TZK07ON180S,Google_1_Kathleen Windham_17_oval.jpg,7,calm,N,8,1554228185.64579
258549,A32613MWIE6YYD,Google_1_Candace Mcdonough_4_oval.jpg,4,calm,N,0,1554228188.31495
258558,A32613MWIE6YYD,Ann_Mullen_15_oval.jpg,4,calm,N,0,1554228191.35968
