318325,A38TZK07ON180S,Google_1_Tammy Jacobs_12_oval.jpg,7,friendly,N,126,1554310162.32275
318328,A38TZK07ON180S,Google_1_Catherine Deberry_3_oval.jpg,8,friendly,N,126,1554310164.96996
318330,A38TZK07ON180S,Google_1_Lori Davidson_15_oval.jpg,6,friendly,N,126,1554310167.36257
318333,A38TZK07ON180S,Google_1_Joshua Ide_1_oval.jpg,7,friendly,N,126,1554310169.67383
318337,A38TZK07ON180S,Google_1_Inez Christiansen_1_oval.jpg,4,friendly,N,126,1554310175.21009
318339,A38TZK07ON180S,Google_1_Roger Bingaman_9_oval.jpg,7,friendly,N,126,1554310177.73084
318345,A38TZK07ON180S,Google_1_Vivian Keenan_7_oval.jpg,7,friendly,Y,126,1554310183.41824
318348,A38TZK07ON180S,Google_1_Larry Truett_13_oval.jpg,3,friendly,N,126,1554310185.76933
318350,A38TZK07ON180S,Google_1_Diane Haviland_5_oval.jpg,7,friendly,N,126,1554310188.80026
318354,A38TZK07ON180S,Google_1_James Mansfield_15_oval.jpg,8,friendly,N,126,1554310191.05707
318356,A38TZK07ON180S,Google_1_Nicholas Horan_15_oval.jpg,6,friendly,N,126,1554310193.44059
318359,A38TZK07ON180S,Google_1_Randy Albers_3_oval.jpg,6,friendly,Y,126,1554310196.58512
318362,A38TZK07ON180S,Google_1_Judith Stock_13_oval.jpg,2,friendly,N,126,1554310199.96353
318364,A38TZK07ON180S,Google_1_Rosalie May_19_oval.jpg,4,friendly,N,126,1554310202.56939
318367,A38TZK07ON180S,Google_1_Eva Kirkman_15_oval.jpg,7,friendly,Y,126,1554310204.71806
318368,AGXQ75UCTVAC2,Google_1_Joanne Sandifer_3_oval.jpg,8,friendly,Y,62,1554310205.60725
318370,A38TZK07ON180S,Google_1_Curtis Kaplan_7_oval.jpg,5,friendly,N,126,1554310206.96317
318371,AGXQ75UCTVAC2,Google_1_Stephanie Conklin_1_oval.jpg,8,friendly,N,62,1554310207.45889
318374,A38TZK07ON180S,Google_1_Timothy Rayborn_1_oval.jpg,7,friendly,Y,126,1554310209.40133
318375,AGXQ75UCTVAC2,Heather_Stroup_13_oval.jpg,3,friendly,N,62,1554310209.79253
318377,A38TZK07ON180S,Google_1_Mattie Weil_3_oval.jpg,6,friendly,N,126,1554310211.50331
318380,A38TZK07ON180S,Google_1_Roberta Slaughter_19_oval.jpg,6,friendly,Y,126,1554310213.80389
318381,AGXQ75UCTVAC2,Google_1_Justin Reinke_5_oval.jpg,4,friendly,N,62,1554310214.20699
318383,A38TZK07ON180S,Google_1_Martha Dinsmore_5_oval.jpg,7,friendly,Y,126,1554310216.069
318384,AGXQ75UCTVAC2,Google_1_Paul Bautista_7_oval.jpg,5,friendly,N,62,1554310216.18213
318386,AGXQ75UCTVAC2,Google_1_Alberta Gilliard_3_oval.jpg,6,friendly,N,62,1554310217.95394
318387,A38TZK07ON180S,Google_1_Louis Mceachern_7_oval.jpg,1,friendly,N,126,1554310218.64926
318391,AGXQ75UCTVAC2,Google_1_Yolanda Scully_3_oval.jpg,7,friendly,N,62,1554310219.74274
318392,A38TZK07ON180S,Arthur_Pagano_19_oval.jpg,8,friendly,N,126,1554310221.13347
318393,AGXQ75UCTVAC2,Google_1_Colleen Summer_5_oval.jpg,8,friendly,N,62,1554310221.5409
318396,A38TZK07ON180S,Google_1_Arthur Albright_5_oval.jpg,6,friendly,N,126,1554310223.09544
318397,AGXQ75UCTVAC2,Google_1_Jose Monaghan_9_oval.jpg,8,friendly,Y,62,1554310223.29768
