,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
175,186,AOS514C6P58B7,40-49,Female,No,4,White,none,none,11-50,
176,187,A12I6MX0ULUDH0,40-49,Female,No,4,White,1-10,none,50+,
177,188,A3EZW7VEPOUSKL,30-39,Female,No,4,White,1-10,none,1-10,
178,189,A34XVNVOL49Y8C,50-59,Female,No,4,White,1-10,none,11-50,
179,190,A2JZP4AZI1RTG4,30-39,Male,No,4,Asian,1-10,1-10,50+,
180,191,A2MI6AUNBXGL47,50-59,Male,No,4,White,1-10,none,11-50,
181,192,A3BH5XFKL9R3KF,30-39,Female,Yes,4,Black,1-10,none,11-50,
182,193,AUB2Y2EREGBUZ,30-39,Female,No,4,White,none,none,1-10,Japan
183,194,A1GLBYY57648P4,20-29,Female,No,4,White,none,none,1-10,
184,195,A1TJ3TVCUUOYU3,50-59,Female,No,4,White,1-10,none,1-10,
185,196,A139701FEHQMJ7,60+,Female,No,4,White,1-10,none,50+,
186,197,A13CFX0E9LU3U,20-29,Male,No,4,Asian,1-10,30+,50+,"India, Singapore"
187,198,A2U4IQ64HCAQKU,20-29,Female,No,4,White,1-10,none,50+,
188,199,A3C2DKCZLI304P,30-39,Female,No,4,White,none,none,50+,
189,200,AORVJ8BN9CQHH,40-49,Female,No,4,White,10+,none,11-50,
190,201,AQBJF9WWTFDYO,50-59,Female,No,4,White,1-10,none,11-50,
191,202,APIMRVTG43CPH,50-59,Female,No,4,White,1-10,none,11-50,
192,203,A3J5FW6N413D03,20-29,Male,No,4,White,10+,11-30,11-50,Japan
193,204,A3OEPLQ3SSL3SO,20-29,Male,No,4,White,1-10,none,11-50,
194,205,A1XFZWOOLJ1CGL,60+,Female,No,4,Black,1-10,1-10,50+,"Japan, and Hong Kong"
195,206,A1BVEXQ684HDEP,20-29,Female,No,4,White,none,none,none,
196,207,A2W2AXRFK3S3HX,40-49,Male,No,4,White,10+,none,50+,
197,208,A2SQNS3J389FRJ,60+,Male,No,4,White,1-10,none,1-10,
198,209,AFI2X7JBKB6U6,30-39,Male,No,4,White,10+,none,50+,
