,id,username,age,gender,hispanic,number,race
0,84,A3A2AZLG73ZE1U,40-49,Female,No,4,White
1,85,A2LBH2X1DIWOD,60+,Female,No,4,White
2,86,A1CSHXVJJ8BPHH,20-29,Male,No,4,White
3,87,A8DINU8I0ORNG,30-39,Female,Yes,4,White
4,88,A5FUU339LEP25,20-29,Female,No,4,White
5,89,AGN7QXPOEXCND,20-29,Male,Yes,4,White
6,90,A2LHAMZNC1JZA8,40-49,Female,No,4,White
7,91,A39KVTVXJ5FU61,60+,Male,Yes,1,Natives
8,92,A1SGOJI6Z8TYFR,20-29,Female,Yes,4,Natives
9,93,A1L9F0R30HB2V4,60+,Female,No,4,Black
10,94,A1YMIA0664RNFF,40-49,Male,No,4,Black
11,95,A1S21CXJ6Y2Y1W,20-29,Female,No,4,White
12,96,A3KYJXBOBOQOBV,30-39,Female,Yes,4,White
13,97,A3KYJXBOBOQOBV,20-29,Female,Yes,4,White
14,98,A28EJFAG2UA5EO,50-59,Female,No,4,White
15,99,A32613MWIE6YYD,30-39,Male,No,4,White
16,100,ANWR7DTA3OLLN,20-29,Female,No,4,White
17,101,AWJ5RYXJCSGV0,40-49,Female,No,4,White
18,102,ALMXTU647ULDU,60+,Male,No,4,White
19,103,A3J5FW6N413D03,20-29,Male,No,4,White
20,104,A2KBTDHM44J7X4,30-39,Male,No,4,Black
21,105,A34Q9JGU37OQJM,40-49,Male,No,4,White
22,106,A36EOEBVBUTO85,40-49,Female,No,4,White
23,107,A3RX72PACI0RG4,30-39,Female,No,4,Black
24,108,A9IPY1BU3GE2J,20-29,Male,Yes,2,White
25,109,ABBSQHJ1Y6FRX,50-59,Female,No,4,White
26,110,AHYXP6QIMYJLD,20-29,Female,No,4,White
27,111,AYUBSG6FZ9DVU,50-59,Male,No,4,White
28,112,A3BURD0IE57TB5,20-29,Male,Yes,2,White
29,113,AKMEQHWJUARX1,60+,Female,No,4,White
30,114,A20K99JZE0L8HU,20-29,Male,No,4,Black
31,115,A1M3HU7RRX0BXZ,30-39,Female,No,4,White
32,116,A1H8R351GISAYY,20-29,Female,No,4,White
33,117,AVI5GB8RDVIB2,50-59,Male,No,4,White
34,118,A18AUUO02PHP21,20-29,Female,No,4,Asian
35,119,A19OCD2Q0K2U6M,50-59,Male,No,4,White
36,120,A3OVNBC0ZIUS5F,20-29,Male,No,4,White
37,121,A2M47ONTL35B3A,60+,Female,No,4,White
38,122,A213HL9RAM77OD,30-39,Male,No,4,White
39,123,A2RW3D2X07UKO3,30-39,Female,No,4,White
40,124,A36VXS1NZ2GN2T,40-49,Female,No,4,White
41,125,A25MZY0FNQAK5H,40-49,Male,No,4,White
42,126,A2GYO91ON7655T,60+,Male,No,4,White
43,127,A1SFBJ5WW2OZTI,40-49,Female,No,4,White
