,id,username,age,gender,hispanic,number,race
44,128,AQUCBZE3XVMKW,30-39,Female,No,4,Asian
45,129,AJLDSGP50KH96,40-49,Female,No,4,White
46,130,A2HG1N3BVQO6I,50-59,Female,No,4,White
47,131,A30J4IZCMCR31F,30-39,Female,No,4,White
48,132,A3CA7SCTM4H9IO,40-49,Female,No,4,White
49,133,A3G1X3IP2VM4IK,20-29,Female,No,4,Black
50,134,ATOV0H5KQHI29,50-59,Female,No,4,White
51,135,A371H3PQPR2Z8J,50-59,Male,No,4,White
52,136,A1NBX7O9MEYVPI,30-39,Female,No,4,White
53,137,AA03EU7ZHXBFL,20-29,Female,No,4,White
54,138,A2ROUAYT2602ZS,20-29,Male,No,4,White
55,139,A2HIETDIIXRYVV,30-39,Female,No,4,White
56,140,A1W15J3LW3V1WF,50-59,Female,No,4,White
57,141,A3188D3KT4BERJ,40-49,Male,No,4,White
58,142,A3T8WF8CGVG2FL,20-29,Male,Yes,4,White
59,143,A2KRNB1R6PAFNA,20-29,Male,No,4,White
60,144,A1GV3SF9AKA8BU,40-49,Male,No,4,Natives
61,145,AL0VYWO0G12QQ,60+,Female,No,4,White
62,146,A2K14THTRC00OH,20-29,Female,Yes,4,White
63,147,A36SVVL4680DWK,50-59,Female,No,4,White
64,148,A2K14THTRC00OH,20-29,Female,Yes,4,White
65,149,AZ79FR04OLJX8,60+,Female,No,4,White
66,150,A1WCRV1WEWA63I,40-49,Male,No,4,White
67,151,A1WCRV1WEWA63I,40-49,Male,No,4,White
68,152,A1G70F4VJOW46H,20-29,Female,No,4,White
69,153,A3MJSYSWX0Q4WQ,60+,Female,No,4,White
70,154,A1V76L0ZY5Y2HE,50-59,Female,No,4,White
71,155,A3BOY7SUI425MK,20-29,Female,No,4,White
72,156,A1NGXQMOBCXDC3,40-49,Female,No,4,White
73,157,A1ZPYSX30BDIVW,30-39,Female,No,4,White
74,158,AXV2CA5TY066N,60+,Female,No,4,White
75,159,ANJ9V1S2RYOE8,60+,Male,No,4,White
76,160,A2HPSP60MYR5WD,40-49,Female,No,4,White
77,161,A15F2JTVAJXITI,40-49,Female,No,4,White
78,162,A1118RXX666MLC,30-39,Female,No,4,White
79,163,A2DI9Z0AAHSYBO,60+,Female,No,4,White
80,164,A1FN0TLGQJOR3O,50-59,Male,No,4,White
81,165,A1BNEJ2Q76JNF3,40-49,Male,No,4,White
82,166,A30CGO77OY7WP0,30-39,Male,No,4,Black
83,167,A9VEZ7WVCCK8G,30-39,Female,No,4,Black
84,168,A1S88VQY8G8CNC,60+,Male,No,4,White
85,169,A3OB6REG5CGHK1,50-59,Male,No,4,White
86,170,A14R1LITTLBHR8,50-59,Female,No,4,White
87,171,A25NLIU6R2PQ8P,20-29,Female,No,4,Asian
88,172,A1KX6601ZO4084,40-49,Female,Yes,4,White
89,173,A1MMPS2GX0CJHB,60+,Female,No,4,White
90,174,A17FTRR2SK95W8,20-29,Male,No,4,White
91,175,A3BTV0RLP0LTO8,40-49,Female,No,4,Asian
92,176,A1MDOWPQ04PFYB,40-49,Female,No,4,White
93,177,AWW7U5TW7NPKO,20-29,Female,Yes,4,White
94,178,A2VNSNAN1LZBAM,60+,Female,No,4,White
95,179,A3OKSFK4S2W57I,40-49,Female,No,4,White
96,180,A517NAQCZU4CB,30-39,Female,No,4,Black
97,181,A3PTO0DMF57GDG,50-59,Female,No,4,Black
98,182,A1FQK51ECARQNK,40-49,Female,No,4,Asian
99,183,AMPB8XFG3TNOQ,20-29,Female,No,4,White
100,184,AE9A34YO3OFSO,30-39,Male,No,4,White
101,185,A3PTO0DMF57GDG,50-59,Female,No,4,Black
102,186,AM36K1JYK4SC1,20-29,Female,No,4,White
103,187,A20K80GWXI69Z7,50-59,Female,No,4,White
104,188,AM36K1JYK4SC1,20-29,Female,No,4,White
105,189,A1MIYNSRG2PMMK,60+,Female,No,4,White
106,190,APF1EAZT104LQ,20-29,Male,No,4,White
107,191,A3TGNRUAOG7G3Y,20-29,Male,No,4,White
108,192,A1M9HB90MO401O,30-39,Female,No,4,White
109,193,ARDQYKIK0UXJG,50-59,Female,No,4,White
110,194,A90JBLDKW71DX,20-29,Female,No,4,White
111,195,A17AF42SNQNH9C,40-49,Male,No,4,White
112,196,A3R3GOF4VF74AA,40-49,Male,No,4,White
113,197,AGS3G0AT438E7,20-29,Male,No,4,White
114,198,A377NX01UOD3Z8,40-49,Female,No,4,Asian
115,199,A11N2XYG9AGJ30,60+,Male,No,4,White
116,200,AB97CSSU83242,60+,Male,No,4,White
117,201,A3L1DZWXQFWB90,30-39,Female,No,4,White
118,202,A3CHSKOAWR1DVA,20-29,Male,No,4,Black
119,203,A1RGKDDAQN68NO,20-29,Female,No,4,Asian
120,204,A3V4JTIC3WVT6H,30-39,Male,No,4,White
121,205,A3FAH5S2RGZ5AK,30-39,Female,No,4,Black
122,206,A1CS4973OJLRUF,60+,Female,No,4,White
123,207,AS4OUUE7SS7L9,40-49,Male,No,4,White
124,208,A1KM80WK2URSMJ,30-39,Female,No,4,White
125,209,A265J7VUDJU5C0,30-39,Female,Yes,4,White
126,210,A16184N1RO5OJV,30-39,Female,No,4,Asian
127,211,A36EY8X5FGPIRZ,40-49,Female,No,4,Black
128,212,AKPE2SWLHMF71,20-29,Male,No,4,White
