,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
0,419,A36JZTXF9WBWD0,20-29,Female,No,4,Black,1-10,none,1-10,
1,420,AD1FDB9A61LMS,20-29,Male,Yes,4,White,1-10,none,1-10,
2,421,AGDJB8B8CDZ71,30-39,Male,No,4,White,1-10,none,50+,
3,422,A35TOZLHRABJR5,30-39,Female,No,4,White,1-10,none,50+,
4,423,A190P4JHYVT7VI,20-29,Female,Yes,4,White,1-10,none,1-10,
5,424,A2E9KS4RK6T8CW,30-39,Male,No,4,White,1-10,none,1-10,
6,425,A3PK2IBIYI3B8L,20-29,Male,Yes,4,Natives,1-10,none,50+,No
7,426,A2BFBPUWOY7ZQ1,60+,Male,No,4,White,none,none,50+,none
8,427,A1XIJE772WYRNJ,40-49,Female,No,4,White,1-10,none,11-50,
9,428,A26BN3EJZYQFZ3,40-49,Female,No,4,White,10+,none,50+,
10,429,A3HE3DWSSVLO75,20-29,Female,No,4,White,1-10,30+,50+,"Hong Kong, Thailand, Japan"
11,430,A12S4E3AJF8JSK,20-29,Male,No,4,White,none,none,none,
12,431,A1V6MPL7396OE4,50-59,Male,No,4,White,1-10,none,1-10,
13,432,A2363SY3BR3FGW,20-29,Male,No,4,Black,1-10,1-10,50+,
14,433,A8AG71WQHPTYN,30-39,Male,No,4,White,1-10,none,11-50,
15,434,A2P8VR6J0Q7GXS,20-29,Female,No,4,White,none,none,1-10,
16,435,A1561P9VVA3C1C,40-49,Female,No,4,White,none,none,1-10,
17,436,A3P57IUDHUKNCE,20-29,Male,No,4,Black,none,none,none,
18,437,A32C9R9CMF8P4O,20-29,Female,No,4,White,1-10,none,11-50,
19,438,ALV4DAF8DIJ37,30-39,Male,No,4,White,none,none,1-10,
20,439,A1QEQOI98976S0,30-39,Male,No,4,Black,1-10,none,1-10,
21,440,A2RTQ2U1VT7JQ9,20-29,Female,Yes,4,Black,10+,1-10,50+,Tokyo
22,441,A2HFFHU98168VH,40-49,Male,Yes,4,White,1-10,none,11-50,
23,442,A37LQHDHZLKVCH,30-39,Male,No,4,White,1-10,none,50+,
24,443,A14EI5AEBM6AUX,20-29,Male,No,4,White,10+,none,50+,
25,444,A2NBVTY6FLBEAF,30-39,Male,No,4,Asian,10+,30+,50+,Thailand
26,445,AGXQ75UCTVAC2,50-59,Female,No,4,White,1-10,none,1-10,no
27,446,A1O2ZY5EGJ7IW6,30-39,Male,Yes,4,White,1-10,none,50+,
28,447,A1DK3FVV13STX2,50-59,Female,No,4,White,1-10,none,50+,
29,448,A69RUK0SZV067,30-39,Male,No,4,White,1-10,none,50+,
30,449,AIUKV0KVALMY6,30-39,Female,No,4,White,1-10,none,1-10,
31,450,A22D47BPISVGL7,40-49,Male,No,4,White,1-10,none,11-50,japa
32,451,A3V8C77FN4FLUA,20-29,Female,Yes,4,White,1-10,none,1-10,
33,452,A2QPMJ4GADLUW2,30-39,Male,No,4,White,10+,none,11-50,
34,453,A3SX7CB4GC3G6J,40-49,Female,No,4,Black,1-10,none,11-50,
35,454,A70TBKPGWQZO4,20-29,Male,No,4,White,1-10,1-10,1-10,
36,455,A3CPRNJERZC1HK,30-39,Female,No,4,White,1-10,none,50+,
37,456,A3ORCMW760Y9UF,30-39,Male,No,4,White,1-10,none,11-50,
38,457,AXXKYIAMOWOUE,20-29,Female,No,4,White,10+,30+,50+,Japan
39,458,A22RODW8MWK0QF,50-59,Female,No,4,White,1-10,none,11-50,
40,459,A16AN15QQ3EDBY,30-39,Male,No,4,Black,1-10,none,50+,
41,460,A2RD0YJQM299JS,60+,Male,No,4,White,1-10,30+,50+,"Japan, Republic of China, South Korea; also Thailand and the Philippines if considered Asian by you"
42,461,A340GED9S6SFCK,20-29,Female,No,4,White,none,none,1-10,
43,462,A3F99X0TW7OCLP,30-39,Male,No,4,White,1-10,none,11-50,
44,463,AM0ICBSM87D2F,20-29,Male,No,4,White,1-10,none,11-50,
45,464,A2EDX4E7Y3PM8D,30-39,Female,No,4,White,1-10,none,11-50,
46,465,A122XBTHLAFX51,50-59,Female,No,4,White,1-10,none,11-50,
47,466,A3989GRV3UV5VW,50-59,Male,No,4,White,10+,11-30,50+,"Vietnam, China"
48,467,AC7UJN8O11QRR,20-29,Male,Yes,4,White,none,none,1-10,
49,468,A2B2HQHFBYLTXU,30-39,Male,No,4,White,10+,none,50+,
50,469,AGRKG3YT3KMD8,30-39,Male,No,4,White,1-10,none,11-50,
51,470,APAR2A1F4RB0N,60+,Female,No,4,White,none,none,none,
52,471,A3FPO3AQAHFMT,60+,Female,No,4,White,1-10,none,50+,
53,472,A2AOD3GOS9NKFC,20-29,Male,No,4,White,1-10,none,none,
54,473,A257Q6V67C6AMR,40-49,Male,Yes,4,White,10+,none,11-50,
55,474,A5N551A5UQ4G2,Under 20,Male,No,4,Black,1-10,none,none,
56,475,AWKXNVQD12EHT,30-39,Female,Yes,4,White,1-10,1-10,1-10,
